SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015
162,6,0,71876,0,0,0,A,Signal Hill city,California,11016,11016,11020,11081,11182,11348,11499,11565
162,6,0,72016,0,0,0,A,Simi Valley city,California,124237,124239,124493,125177,125569,126279,126790,126788
162,6,0,72506,0,0,0,A,Solana Beach city,California,12867,12867,12902,13034,13153,13271,13346,13449
162,6,0,72520,0,0,0,A,Soledad city,California,25738,25740,26031,26422,26514,25854,25338,25003
162,6,0,72576,0,0,0,A,Solvang city,California,5245,5245,5255,5287,5341,5397,5518,5741
162,6,0,72646,0,0,0,A,Sonoma city,California,10648,10652,10666,10714,10820,10891,10993,11037
162,6,0,72674,0,0,0,A,Sonora city,California,4903,4904,4898,4861,4810,4808,4807,4818
162,6,0,72996,0,0,0,A,South El Monte city,California,20116,20116,20128,20252,20353,20464,20508,20878
162,6,0,73080,0,0,0,A,South Gate city,California,94396,94417,94478,94805,94931,95195,95385,96401
162,6,0,73108,0,0,0,A,South Lake Tahoe city,California,21403,21400,21415,21375,21293,21360,21505,21706
162,6,0,73220,0,0,0,A,South Pasadena city,California,25619,25619,25632,25772,25908,26028,26095,26151
162,6,0,73262,0,0,0,A,South San Francisco city,California,63632,63664,63769,64592,65755,66412,66961,67271
162,6,0,73962,0,0,0,A,Stanton city,California,38186,37827,37918,38302,38498,38719,38702,38872
162,6,0,75000,0,0,0,A,Stockton city,California,291707,291731,292566,295366,297381,298130,302074,305658
162,6,0,75630,0,0,0,A,Suisun City city,California,28111,28104,28150,28338,28555,28788,29233,29492
162,6,0,77000,0,0,0,A,Sunnyvale city,California,140081,140058,140522,143974,146709,148422,150098,151754
162,6,0,77364,0,0,0,A,Susanville city,California,17947,17943,17726,17290,16619,15533,15534,15247
162,6,0,77392,0,0,0,A,Sutter Creek city,California,2501,2514,2509,2493,2468,2456,2470,2488
162,6,0,77574,0,0,0,A,Taft city,California,9327,9288,9284,9290,8934,8943,8913,9495
162,6,0,78092,0,0,0,A,Tehachapi city,California,14414,14414,14362,14334,13837,13282,13235,13021
162,6,0,78106,0,0,0,A,Tehama city,California,418,418,419,416,414,412,413,416
162,6,0,78120,0,0,0,A,Temecula city,California,100097,100156,100880,102944,104733,106644,109390,112011
162,6,0,78148,0,0,0,A,Temple City city,California,35558,35551,35568,35796,35986,36100,36171,36365
162,6,0,78582,0,0,0,A,Thousand Oaks city,California,126683,126522,126798,127517,127990,128673,129226,129339
162,6,0,78666,0,0,0,A,Tiburon town,California,8962,8962,8973,9050,9087,9182,9214,9214
